,economy,regionwb,pop_scaled_wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,fin14_1,fin16,fin17a,fin17b,fin22a,fin22b,fin24,fin33,receive_wages,pay_utilities,remittances,mobileowner,internetaccess,merchantpay_dig,receive_welfare_payments,internet_fin_transc
2003,Algeria,1,61190.22764111576,2,57.0,1,1,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,5.0,1,2,0.0,2,2
2004,Algeria,1,9554.375642546547,2,32.0,3,5,1.0,,1,2,1,1,2.0,1,1,2,2.0,1,2,2.0,1,1,1.0,2,2
2005,Algeria,1,11104.03019164372,2,20.0,2,1,1.0,,0,1,2,1,1.0,2,1,2,2.0,2,2,1.0,1,1,0.0,2,1
2007,Algeria,1,7070.671657228643,2,41.0,3,4,1.0,,1,2,2,1,2.0,2,1,2,2.0,1,2,2.0,1,1,0.0,2,2
2009,Algeria,1,9177.806063697033,2,31.0,3,4,1.0,,1,2,2,1,2.0,2,2,2,1.0,1,2,3.0,1,1,0.0,2,2
2011,Algeria,1,5508.641370631518,1,52.0,2,3,1.0,,1,2,2,2,2.0,2,2,1,2.0,1,2,5.0,1,1,0.0,2,2
2013,Algeria,1,8584.469959312888,1,33.0,3,4,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,4,1.0,1,1,0.0,2,2
2016,Algeria,1,8584.469959312888,1,30.0,3,5,1.0,,1,2,1,1,2.0,2,1,1,1.0,1,4,5.0,1,1,0.0,2,2
2017,Algeria,1,6571.513489771775,1,39.0,3,5,1.0,,1,2,2,2,2.0,2,2,3,1.0,1,2,5.0,1,1,0.0,2,2
2018,Algeria,1,29616.210565090252,2,40.0,2,3,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,2,2.0,1,1,0.0,2,2
2019,Algeria,1,14839.695589193858,2,62.0,2,2,2.0,,1,2,1,2,2.0,2,2,1,2.0,1,1,3.0,1,1,0.0,2,2
2023,Algeria,1,34279.682092614385,2,31.0,2,5,1.0,,1,1,1,2,2.0,2,1,2,1.0,1,4,5.0,1,1,1.0,2,1
2026,Algeria,1,6573.648690545499,2,40.0,3,5,1.0,,1,1,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,1.0,2,1
2028,Algeria,1,5508.641370631518,2,45.0,2,3,1.0,,1,2,1,1,2.0,2,1,2,2.0,1,3,5.0,1,2,0.0,2,2
2029,Algeria,1,16603.80052974081,2,50.0,2,3,1.0,,1,2,1,1,2.0,2,2,3,1.0,1,2,5.0,1,2,0.0,2,2
2030,Algeria,1,6953.715346276466,2,57.0,2,2,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,4,3.0,1,2,0.0,2,2
2035,Algeria,1,153017.81585087546,2,24.0,1,1,1.0,,1,2,2,2,2.0,2,2,6,1.0,1,2,3.0,1,2,0.0,1,2
2040,Algeria,1,5508.641370631518,1,43.0,3,2,1.0,,1,2,1,2,2.0,2,2,1,1.0,1,4,5.0,1,1,0.0,2,2
2043,Algeria,1,10563.91024933323,2,62.0,2,4,1.0,,1,2,1,2,2.0,2,2,3,2.0,2,4,5.0,1,1,0.0,2,2
2045,Algeria,1,34279.682092614385,2,27.0,2,2,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,4,5.0,1,1,0.0,2,2
2046,Algeria,1,40019.45141355029,2,30.0,1,5,1.0,,1,2,2,2,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2048,Algeria,1,27423.74567409157,2,32.0,2,2,1.0,,1,2,1,2,1.0,2,2,3,1.0,1,4,5.0,1,1,0.0,2,2
2049,Algeria,1,8292.83224099787,2,28.0,3,3,1.0,,1,2,1,1,2.0,2,1,5,2.0,1,4,3.0,1,1,0.0,2,2
2053,Algeria,1,5508.641370631518,2,51.0,3,2,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2054,Algeria,1,11421.453181474448,1,23.0,3,5,1.0,,1,1,1,1,2.0,2,2,1,2.0,1,2,5.0,1,1,1.0,2,1
2055,Algeria,1,7353.2467523831965,1,34.0,3,2,1.0,,1,2,2,1,2.0,1,2,1,1.0,1,4,1.0,1,1,0.0,2,2
2056,Algeria,1,9085.106491866703,1,22.0,3,5,1.0,,1,1,1,2,2.0,2,2,1,2.0,1,4,1.0,1,1,1.0,2,1
2057,Algeria,1,11154.154544976907,2,26.0,3,1,1.0,,1,2,2,1,2.0,2,1,4,1.0,2,2,5.0,1,1,0.0,2,1
2058,Algeria,1,5508.641370631518,1,52.0,3,4,1.0,,1,2,1,1,2.0,2,1,1,1.0,1,2,5.0,1,1,0.0,2,2
2066,Algeria,1,20274.033724040408,1,29.0,2,5,1.0,,1,2,1,1,2.0,1,1,2,2.0,1,4,5.0,1,1,0.0,2,2
2067,Algeria,1,25368.52073428163,2,40.0,2,5,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,1.0,1,1,0.0,2,2
2071,Algeria,1,5508.641370631518,1,39.0,3,1,1.0,,1,2,1,1,2.0,2,1,1,1.0,1,4,5.0,1,1,0.0,1,2
2075,Algeria,1,32688.96254311895,2,38.0,2,2,2.0,,0,2,1,2,2.0,2,1,1,2.0,2,2,5.0,1,1,0.0,2,2
2076,Algeria,1,7070.671657228643,2,41.0,3,4,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,1.0,2,2
2082,Algeria,1,5624.330265919166,2,45.0,3,4,1.0,,1,2,2,2,2.0,2,2,3,1.0,1,2,3.0,1,1,0.0,2,2
2084,Algeria,1,5508.641370631518,1,48.0,3,5,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,5.0,1,1,0.0,2,2
2088,Algeria,1,6791.993076046517,2,35.0,3,5,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,2.0,1,1,0.0,2,1
2090,Algeria,1,8882.764180881664,2,26.0,3,4,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,4,5.0,1,1,0.0,2,2
2095,Algeria,1,6791.993076046517,2,40.0,3,2,1.0,,1,2,2,2,1.0,2,1,1,1.0,1,4,1.0,1,1,0.0,2,2
2101,Algeria,1,24508.29146716114,2,42.0,1,1,1.0,,1,2,2,2,2.0,2,1,7,2.0,1,2,5.0,1,1,0.0,2,2
2106,Algeria,1,111855.1042891996,2,65.0,1,3,2.0,,0,2,2,2,2.0,2,2,1,1.0,3,2,1.0,1,1,0.0,2,2
2107,Algeria,1,42353.3403415033,2,20.0,2,5,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,1.0,1,1,0.0,2,2
2117,Algeria,1,13634.297228553967,2,35.0,3,4,2.0,,0,2,2,2,2.0,2,2,3,2.0,2,2,5.0,1,1,0.0,2,2
2119,Algeria,1,5508.641370631518,1,35.0,3,5,1.0,,1,2,2,1,2.0,2,2,1,1.0,1,2,5.0,1,1,1.0,2,2
2122,Algeria,1,32928.60632045951,2,27.0,2,2,1.0,,1,2,1,1,2.0,2,2,3,2.0,1,4,5.0,1,1,1.0,2,2
2123,Algeria,1,5508.641370631518,1,40.0,3,3,1.0,,1,2,1,1,1.0,2,2,1,1.0,1,2,3.0,1,1,0.0,2,1
2124,Algeria,1,25368.52073428163,2,37.0,2,5,1.0,,1,1,1,1,2.0,2,2,1,2.0,1,2,5.0,1,1,1.0,2,1
2126,Algeria,1,7945.171610788462,1,23.0,2,1,1.0,,0,2,1,2,1.0,2,1,2,2.0,2,4,3.0,2,2,0.0,2,1
2127,Algeria,1,7070.671657228643,2,39.0,3,4,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,3.0,1,1,0.0,2,2
2132,Algeria,1,20179.262435634337,2,46.0,2,3,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,2.0,1,1,0.0,2,2
2133,Algeria,1,34279.682092614385,2,34.0,2,3,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,2,5.0,1,1,0.0,2,2
2135,Algeria,1,16070.032814865837,2,48.0,2,5,1.0,,1,2,1,2,2.0,1,1,1,2.0,2,4,5.0,1,1,0.0,2,1
2140,Algeria,1,6352.897426740321,1,36.0,3,3,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,4,5.0,1,1,0.0,2,2
2141,Algeria,1,111855.1042891996,2,70.0,1,5,2.0,,1,2,1,2,2.0,2,2,1,1.0,1,2,2.0,1,1,0.0,2,2
2142,Algeria,1,44091.117259491926,2,22.0,2,3,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,4,1.0,1,1,0.0,2,1
2146,Algeria,1,5508.641370631518,2,52.0,3,5,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2147,Algeria,1,6644.206831236145,1,32.0,3,5,1.0,,1,2,1,2,2.0,1,1,2,1.0,1,2,2.0,1,1,0.0,2,2
